Comunidad autónoma de residencia;Tipo de destino;Concepto turístico;Tipo de dato;Periodo;Total
Total;España;Viajes;Valor absoluto;2021;135.687.709
Total;España;Viajes;Valor absoluto;2020;96.449.394
Total;España;Viajes;Valor absoluto;2019;173.754.971
Total;España;Viajes;Valor absoluto;2018;176.772.352
Total;España;Viajes;Valor absoluto;2017;176.399.801
Total;España;Viajes;Valor absoluto;2016;166.218.791
Total;España;Viajes;Valor absoluto;2015;160.331.085
Total;España;Viajes;Distribución porcentual;2021;100,0
Total;España;Viajes;Distribución porcentual;2020;100,0
Total;España;Viajes;Distribución porcentual;2019;100,0
Total;España;Viajes;Distribución porcentual;2018;100,0
Total;España;Viajes;Distribución porcentual;2017;100,0
Total;España;Viajes;Distribución porcentual;2016;100,0
Total;España;Viajes;Distribución porcentual;2015;100,0
Total;España;Viajes;Variación anual;2021;40,68
Total;España;Viajes;Variación anual;2020;-44,49
Total;España;Viajes;Variación anual;2019;-1,71
Total;España;Viajes;Variación anual;2018;0,21
Total;España;Viajes;Variación anual;2017;6,13
Total;España;Viajes;Variación anual;2016;3,67
Total;España;Viajes;Variación anual;2015;""
Total;España;Duración media de los viajes;Valor absoluto;2021;4,11
Total;España;Duración media de los viajes;Valor absoluto;2020;4,67
Total;España;Duración media de los viajes;Valor absoluto;2019;3,74
Total;España;Duración media de los viajes;Valor absoluto;2018;3,65
Total;España;Duración media de los viajes;Valor absoluto;2017;3,75
Total;España;Duración media de los viajes;Valor absoluto;2016;3,87
Total;España;Duración media de los viajes;Valor absoluto;2015;3,85
Total;España;Duración media de los viajes;Distribución porcentual;2021;""
Total;España;Duración media de los viajes;Distribución porcentual;2020;""
Total;España;Duración media de los viajes;Distribución porcentual;2019;""
Total;España;Duración media de los viajes;Distribución porcentual;2018;""
Total;España;Duración media de los viajes;Distribución porcentual;2017;""
Total;España;Duración media de los viajes;Distribución porcentual;2016;""
Total;España;Duración media de los viajes;Distribución porcentual;2015;""
Total;España;Duración media de los viajes;Variación anual;2021;-12,11
Total;España;Duración media de los viajes;Variación anual;2020;25,00
Total;España;Duración media de los viajes;Variación anual;2019;2,55
Total;España;Duración media de los viajes;Variación anual;2018;-2,69
Total;España;Duración media de los viajes;Variación anual;2017;-3,17
Total;España;Duración media de los viajes;Variación anual;2016;0,61
Total;España;Duración media de los viajes;Variación anual;2015;""
Total;España;Pernoctaciones;Valor absoluto;2021;557.278.462
Total;España;Pernoctaciones;Valor absoluto;2020;450.689.308
Total;España;Pernoctaciones;Valor absoluto;2019;649.516.399
Total;España;Pernoctaciones;Valor absoluto;2018;644.365.970
Total;España;Pernoctaciones;Valor absoluto;2017;660.794.364
Total;España;Pernoctaciones;Valor absoluto;2016;643.050.482
Total;España;Pernoctaciones;Valor absoluto;2015;616.515.918
Total;España;Pernoctaciones;Distribución porcentual;2021;100,0
Total;España;Pernoctaciones;Distribución porcentual;2020;100,0
Total;España;Pernoctaciones;Distribución porcentual;2019;100,0
Total;España;Pernoctaciones;Distribución porcentual;2018;100,0
Total;España;Pernoctaciones;Distribución porcentual;2017;100,0
Total;España;Pernoctaciones;Distribución porcentual;2016;100,0
Total;España;Pernoctaciones;Distribución porcentual;2015;100,0
Total;España;Pernoctaciones;Variación anual;2021;23,65
Total;España;Pernoctaciones;Variación anual;2020;-30,61
Total;España;Pernoctaciones;Variación anual;2019;0,80
Total;España;Pernoctaciones;Variación anual;2018;-2,49
Total;España;Pernoctaciones;Variación anual;2017;2,76
Total;España;Pernoctaciones;Variación anual;2016;4,30
Total;España;Pernoctaciones;Variación anual;2015;""
Total;España;Gasto total;Valor absoluto;2021;27.108.953,86
